,0
0,-0.001799999999999996
1,-0.0008000000000000021
2,0.003100000000000002
3,-0.0007000000000000027
4,0.0007000000000000027
5,0.0005000000000000004
6,0.0026000000000000016
7,-0.0008000000000000021
8,-0.00020000000000000226
9,0.0009999999999999974
10,0.00020000000000000226
11,0.0013000000000000025
12,-0.0009999999999999974
13,0.0022999999999999965
14,0.0012000000000000031
15,0.002200000000000004
16,0.0011000000000000003
17,-0.002999999999999999
18,0.004
19,-0.0008000000000000021
20,0.0017000000000000036
21,-0.0026000000000000016
22,9.99999999999994e-05
23,0.0016000000000000007
24,-0.0013999999999999985
25,-0.0013999999999999985
26,0.0009999999999999974
27,0.001799999999999996
28,0.0
29,-0.0026000000000000016
30,-0.0008000000000000021
31,-0.0016000000000000007
32,0.0008000000000000021
33,-0.0011000000000000003
34,0.0005999999999999998
35,0.0012000000000000031
36,-0.001899999999999999
37,0.0014999999999999979
38,-0.000899999999999998
39,0.0013999999999999985
40,-0.0005000000000000004
41,0.0013000000000000025
42,-0.0008000000000000021
43,-0.0012000000000000031
44,-0.0007000000000000027
45,0.0019999999999999983
46,-0.0012000000000000031
47,-0.001799999999999996
48,-0.001799999999999996
49,-0.0003999999999999976
50,0.004600000000000003
51,0.00030000000000000165
52,0.0003999999999999976
53,0.0
54,0.0026000000000000016
55,-9.99999999999994e-05
56,0.00030000000000000165
57,0.0024999999999999988
58,-0.0019999999999999983
59,-0.0011000000000000003
60,-0.0024999999999999988
61,0.0017000000000000036
62,-0.0011000000000000003
63,-0.0024999999999999988
64,-0.0013000000000000025
65,0.0
66,-0.001799999999999996
67,0.0005999999999999998
68,0.00030000000000000165
69,0.0008000000000000021
70,-0.0016000000000000007
71,-0.002100000000000001
72,-0.002999999999999999
73,-0.0013000000000000025
74,-0.0013000000000000025
75,0.0005000000000000004
76,-0.0034000000000000002
77,-0.0007000000000000027
78,-0.002999999999999999
79,-0.0019999999999999983
80,-0.0013999999999999985
81,-0.0003999999999999976
82,0.002200000000000004
83,0.0013000000000000025
84,-0.002799999999999997
85,0.0032999999999999974
86,-0.0017000000000000036
87,0.0012000000000000031
88,0.0005000000000000004
89,-0.0013000000000000025
90,-0.0009999999999999974
91,0.002799999999999997
92,-0.002200000000000004
93,-0.00020000000000000226
94,0.0003999999999999976
95,0.0013000000000000025
96,0.0016000000000000007
97,0.00020000000000000226
98,-0.0034000000000000002
99,0.0013000000000000025
100,0.00030000000000000165
101,-0.0007000000000000027
102,9.99999999999994e-05
103,0.0
104,0.002999999999999999
105,-0.000899999999999998
106,-0.0005000000000000004
107,-0.0011000000000000003
108,0.0005000000000000004
109,0.0008000000000000021
110,9.99999999999994e-05
111,-0.0008000000000000021
112,-0.0009999999999999974
113,-0.002799999999999997
114,-0.002100000000000001
115,0.003100000000000002
116,-0.0011000000000000003
117,0.0019999999999999983
118,-0.0029
119,0.0016000000000000007
120,0.0005000000000000004
121,0.0008000000000000021
122,-0.0005999999999999998
123,0.0003999999999999976
124,-0.0013000000000000025
125,-0.0016000000000000007
126,-0.0023999999999999994
127,0.002100000000000001
128,0.0011000000000000003
129,0.003700000000000002
130,0.0011000000000000003
131,-0.0034000000000000002
132,-0.0005000000000000004
133,-0.0022999999999999965
134,-0.00030000000000000165
135,-0.0003999999999999976
136,0.002700000000000001
137,0.0005999999999999998
138,-0.0009999999999999974
139,-0.0016000000000000007
140,0.0007000000000000027
141,0.0024999999999999988
142,-0.0029
143,-0.0009999999999999974
144,-0.0014999999999999979
145,-0.0016000000000000007
146,-0.0009999999999999974
147,0.0008000000000000021
148,0.0
149,-0.0013999999999999985
150,0.002100000000000001
151,0.0
152,9.99999999999994e-05
153,0.0017000000000000036
154,-0.0005000000000000004
155,-0.002100000000000001
156,-0.0034999999999999996
157,-0.0038999999999999972
158,-0.0013000000000000025
159,-0.0005999999999999998
160,0.001899999999999999
161,0.0009999999999999974
162,-0.0016000000000000007
163,-0.0008000000000000021
164,9.99999999999994e-05
165,0.0008000000000000021
166,0.0009999999999999974
167,-0.0022999999999999965
168,-0.0013999999999999985
169,-0.0005000000000000004
170,0.0008000000000000021
171,0.001799999999999996
172,0.0013999999999999985
173,9.99999999999994e-05
174,-0.0013000000000000025
175,-0.0019999999999999983
176,-0.0038999999999999972
177,0.0019999999999999983
178,-0.001899999999999999
179,0.0
180,0.005000000000000001
181,-0.004600000000000003
182,-9.99999999999994e-05
183,-0.0014999999999999979
184,0.0009999999999999974
185,0.0012000000000000031
186,0.0005000000000000004
187,-0.0029
188,-9.99999999999994e-05
189,-0.0008000000000000021
190,-0.0005999999999999998
191,-0.0007000000000000027
192,0.0
193,-0.0022999999999999965
194,-0.0008000000000000021
195,-0.002700000000000001
196,0.002100000000000001
197,-0.0034000000000000002
198,9.99999999999994e-05
199,-0.0003999999999999976
200,0.000899999999999998
201,0.0022999999999999965
202,0.0003999999999999976
203,0.00020000000000000226
204,0.0012000000000000031
205,-0.0005000000000000004
206,-0.00020000000000000226
207,-0.0013000000000000025
208,-0.002700000000000001
209,9.99999999999994e-05
210,0.0016000000000000007
211,0.0011000000000000003
212,-0.0003999999999999976
213,-0.002100000000000001
214,0.0016000000000000007
215,0.004
216,0.0038999999999999972
217,-0.0003999999999999976
218,-0.0016000000000000007
219,-0.0003999999999999976
220,0.0032999999999999974
221,0.00020000000000000226
222,0.00020000000000000226
223,-0.00030000000000000165
224,0.003100000000000002
225,0.002999999999999999
226,-0.001799999999999996
227,0.0013999999999999985
228,0.0017000000000000036
229,0.00020000000000000226
230,0.0007000000000000027
231,0.00030000000000000165
232,-0.0024999999999999988
233,-0.0013000000000000025
234,0.0
235,0.0013000000000000025
236,0.0014999999999999979
237,0.0008000000000000021
238,0.0017000000000000036
239,-0.002100000000000001
240,0.00030000000000000165
241,-0.002700000000000001
242,0.0005999999999999998
243,-0.000899999999999998
244,-0.0029
